HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms
HGNC:5	A1BG	alpha-1-B glycoprotein		
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569
HGNC:24086	A1CF	APOBEC1 complementation factor		ACF, ASP, ACF64, ACF65, APOBEC1CF
HGNC:6	A1S9T~withdrawn	symbol withdrawn, see UBA1		
HGNC:7	A2M	alpha-2-macroglobulin		FWP007, S863-7, CPAMD5
HGNC:27057	A2M-AS1	A2M antisense RNA 1 (head to head)		
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	CPAMD9	FLJ25179
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1		
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2		
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP	
HGNC:10	A2MRAP~withdrawn	symbol withdrawn, see LRPAP1		
HGNC:9	A2MR~withdrawn	symbol withdrawn, see LRP1		
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	IGBS3S, IGB3S
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase		A14GALT, Gb3S, P(k)
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		alpha4GnT
HGNC:1	A12M1~withdrawn	entry withdrawn		
HGNC:2	A12M2~withdrawn	entry withdrawn		
HGNC:3	A12M3~withdrawn	entry withdrawn		
HGNC:4	A12M4~withdrawn	entry withdrawn		
HGNC:13666	AAAS	aladin WD repeat nucleoporin		
HGNC:12	AABT~withdrawn	entry withdrawn		
HGNC:13	AAC1~withdrawn	symbol withdrawn, see NAT1		
HGNC:14	AAC2~withdrawn	symbol withdrawn, see NAT2		
HGNC:21298	AACS	acetoacetyl-CoA synthetase		FLJ12389, SUR-5, ACSF1
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL	
HGNC:13792	AACT~withdrawn	symbol withdrawn, see SERPINA3		
HGNC:17	AADAC	arylacetamide deacetylase		DAC, CES5A1
HGNC:24427	AADACL2	arylacetamide deacetylase-like 2		MGC72001
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1		
HGNC:32037	AADACL3	arylacetamide deacetylase-like 3		OTTHUMG00000001887
HGNC:32038	AADACL4	arylacetamide deacetylase-like 4		OTTHUMG00000001889
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1		
HGNC:17929	AADAT	aminoadipate aminotransferase		KATII, KAT2
HGNC:16881	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	C9orf21	
HGNC:25662	AAGAB	alpha- and gamma-adaptin binding protein		FLJ11506, p34
HGNC:19679	AAK1	AP2 associated kinase 1		KIAA1048, DKFZp686K16132
HGNC:30205	AAMDC	adipogenesis associated, Mth938 domain containing	C11orf67	PTD015, FLJ21035, CK067
HGNC:18	AAMP	angio associated migratory cell protein		
HGNC:19	AANAT	aralkylamine N-acetyltransferase		SNAT
HGNC:15886	AAR2	AAR2 splicing factor homolog	C20orf4	bA234K24.2
HGNC:33842	AARD	alanine and arginine rich domain containing protein	C8orf85	LOC441376
HGNC:20	AARS	alanyl-tRNA synthetase		CMT2N
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARSL	KIAA1270, bA444E17.1
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1		MGC2744
HGNC:49894	AARSP1	alanyl-tRNA synthetase pseudogene 1		
