Pathway Accession	Mapped Ids	Pathway Name	Componenets	Subfamilies	Associated Sequence
P02739	HUMAN|HGNC=3078|UniProtKB=P33316,HUMAN|HGNC=7852|UniProtKB=O00746,HUMAN|HGNC=7851|UniProtKB=Q13232,HUMAN|HGNC=17296|UniProtKB=Q7LG56,HUMAN|HGNC=10451|UniProtKB=P23921,HUMAN|HGNC=11052|UniProtKB=P31641,HUMAN|HGNC=12441|UniProtKB=P04818,HUMAN|HGNC=10452|UniProtKB=P31350,HUMAN|HGNC=31399|UniProtKB=Q9H1V8,HUMAN|HGNC=7850|UniProtKB=P22392,HUMAN|HGNC=3061|UniProtKB=P23919	De novo pyrimidine deoxyribonucleotide biosynthesis	10	53	253
P04380	HUMAN|HGNC=4402|UniProtKB=P50151,HUMAN|HGNC=4382|UniProtKB=O95837,HUMAN|HGNC=4407|UniProtKB=P50150,HUMAN|HGNC=4405|UniProtKB=P63215,HUMAN|HGNC=4388|UniProtKB=P38405,HUMAN|HGNC=11133|UniProtKB=O95721,HUMAN|HGNC=4401|UniProtKB=O14775,HUMAN|HGNC=11131|UniProtKB=O00161,HUMAN|HGNC=20731|UniProtKB=Q9HAV0,HUMAN|HGNC=9201|UniProtKB=P01189,HUMAN|HGNC=19664|UniProtKB=Q9UK08,HUMAN|HGNC=2355|UniProtKB=P06850,HUMAN|HGNC=12643|UniProtKB=P63027,HUMAN|HGNC=4400|UniProtKB=P16520,HUMAN|HGNC=12647|UniProtKB=Q9BV40,HUMAN|HGNC=4392|UniProtKB=Q5JWF2,HUMAN|HGNC=4412|UniProtKB=O14610,HUMAN|HGNC=4398|UniProtKB=P62879,HUMAN|HGNC=4410|UniProtKB=O60262,HUMAN|HGNC=12644|UniProtKB=Q15836,HUMAN|HGNC=11132|UniProtKB=P60880,HUMAN|HGNC=4404|UniProtKB=P59768,HUMAN|HGNC=4390|UniProtKB=P50148,HUMAN|HGNC=12642|UniProtKB=P23763,HUMAN|HGNC=2358|UniProtKB=Q13324,HUMAN|HGNC=4408|UniProtKB=P63218,HUMAN|HGNC=11438|UniProtKB=Q13277,HUMAN|HGNC=4396|UniProtKB=P62873,HUMAN|HGNC=19663|UniProtKB=Q9UBI6	Cortocotropin releasing factor receptor signaling pathway	9	57	328
P05734	HUMAN|HGNC=23149|UniProtKB=Q8NB66,HUMAN|HGNC=15587|UniProtKB=Q4VX76,HUMAN|HGNC=18638|UniProtKB=Q5T7P8,HUMAN|HGNC=8016|UniProtKB=P46459,HUMAN|HGNC=12566|UniProtKB=O14795,HUMAN|HGNC=9777|UniProtKB=P20336,HUMAN|HGNC=11509|UniProtKB=P21579,HUMAN|HGNC=18381|UniProtKB=Q8IV01,HUMAN|HGNC=8526|UniProtKB=Q15070,HUMAN|HGNC=12643|UniProtKB=P63027,HUMAN|HGNC=3403|UniProtKB=P32856,HUMAN|HGNC=17283|UniProtKB=Q9UQ26,HUMAN|HGNC=23147|UniProtKB=Q70J99,HUMAN|HGNC=11494|UniProtKB=P17600,HUMAN|HGNC=11506|UniProtKB=P08247,HUMAN|HGNC=17167|UniProtKB=Q9BQS2,HUMAN|HGNC=11433|UniProtKB=Q16623,HUMAN|HGNC=11132|UniProtKB=P60880,HUMAN|HGNC=26790|UniProtKB=Q3MJ13,HUMAN|HGNC=12642|UniProtKB=P23763,HUMAN|HGNC=19239|UniProtKB=Q9BT88,HUMAN|HGNC=11510|UniProtKB=Q8N9I0,HUMAN|HGNC=18539|UniProtKB=P61266,HUMAN|HGNC=11514|UniProtKB=O43581,HUMAN|HGNC=11513|UniProtKB=O00445,HUMAN|HGNC=11444|UniProtKB=P61764	Synaptic vesicle trafficking	12	37	172
P02754	HUMAN|HGNC=117|UniProtKB=P21399	Methylcitrate cycle	5	9	32
P00031	HUMAN|HGNC=2212|UniProtKB=P12110,HUMAN|HGNC=7778|UniProtKB=Q14934,HUMAN|HGNC=25930|UniProtKB=Q8NAV1,HUMAN|HGNC=1610|UniProtKB=P51686,HUMAN|HGNC=6153|UniProtKB=P05556,HUMAN|HGNC=16833|UniProtKB=O14544,HUMAN|HGNC=10610|UniProtKB=P51671,HUMAN|HGNC=850|UniProtKB=P48047,HUMAN|HGNC=392|UniProtKB=P31751,HUMAN|HGNC=24709|UniProtKB=Q5GFL6,HUMAN|HGNC=6137|UniProtKB=P17301,HUMAN|HGNC=10634|UniProtKB=P80098,HUMAN|HGNC=7777|UniProtKB=Q12968,HUMAN|HGNC=19260|UniProtKB=Q9NPC1,HUMAN|HGNC=6080|UniProtKB=O15357,HUMAN|HGNC=705|UniProtKB=O15144,HUMAN|HGNC=4410|UniProtKB=O60262,HUMAN|HGNC=7776|UniProtKB=Q13469,HUMAN|HGNC=4545|UniProtKB=P43250,HUMAN|HGNC=143|UniProtKB=P68032,HUMAN|HGNC=10628|UniProtKB=P16619,HUMAN|HGNC=9604|UniProtKB=P23219,HUMAN|HGNC=11187|UniProtKB=Q07889,HUMAN|HGNC=4408|UniProtKB=P63218,HUMAN|HGNC=7579|UniProtKB=P35579,HUMAN|HGNC=707|UniProtKB=P59998,HUMAN|HGNC=9401|UniProtKB=Q02156,HUMAN|HGNC=237|UniProtKB=O43306,HUMAN|HGNC=16647|UniProtKB=O00574,HUMAN|HGNC=27023|UniProtKB=A6NMZ7,HUMAN|HGNC=6877|UniProtKB=P27361,HUMAN|HGNC=1462|UniProtKB=Q13557,HUMAN|HGNC=8978|UniProtKB=P48736,HUMAN|HGNC=236|UniProtKB=O95622,HUMAN|HGNC=9996|UniProtKB=O43566,HUMAN|HGNC=9582|UniProtKB=P25105,HUMAN|HGNC=2211|UniProtKB=P12109,HUMAN|HGNC=6719|UniProtKB=Q16873,HUMAN|HGNC=14542|UniProtKB=Q9Y3S1,HUMAN|HGNC=4404|UniProtKB=P59768,HUMAN|HGNC=9954|UniProtKB=Q04864,HUMAN|HGNC=4390|UniProtKB=P50148,HUMAN|HGNC=9066|UniProtKB=P16885,HUMAN|HGNC=6204|UniProtKB=P05412,HUMAN|HGNC=1736|UniProtKB=P60953,HUMAN|HGNC=289|UniProtKB=P25098,HUMAN|HGNC=5438|UniProtKB=P01579,HUMAN|HGNC=4407|UniProtKB=P50150,HUMAN|HGNC=9059|UniProtKB=Q15147,HUMAN|HGNC=433|UniProtKB=P16050,HUMAN|HGNC=11362|UniProtKB=P42224,HUMAN|HGNC=5965|UniProtKB=Q08334,HUMAN|HGNC=10619|UniProtKB=P78556,HUMAN|HGNC=132|UniProtKB=P60709,HUMAN|HGNC=706|UniProtKB=O15145,HUMAN|HGNC=2191|UniProtKB=Q05707,HUMAN|HGNC=9402|UniProtKB=P05129,HUMAN|HGNC=13358|UniProtKB=Q8TDD5,HUMAN|HGNC=10630|UniProtKB=P13236,HUMAN|HGNC=9991|UniProtKB=Q08116,HUMAN|HGNC=6181|UniProtKB=Q14571,HUMAN|HGNC=9612|UniProtKB=Q14289,HUMAN|HGNC=391|UniProtKB=P31749,HUMAN|HGNC=10447|UniProtKB=P10301,HUMAN|HGNC=9395|UniProtKB=P05771,HUMAN|HGNC=6145|UniProtKB=Q13797,HUMAN|HGNC=9829|UniProtKB=P04049,HUMAN|HGNC=13585|UniProtKB=Q9NRD1,HUMAN|HGNC=7590|UniProtKB=Q15746,HUMAN|HGNC=14552|UniProtKB=Q14164,HUMAN|HGNC=14261|UniProtKB=Q9NS28,HUMAN|HGNC=8976|UniProtKB=P42338,HUMAN|HGNC=233|UniProtKB=Q08462,HUMAN|HGNC=4402|UniProtKB=P50151,HUMAN|HGNC=15917|UniProtKB=Q9NQ66,HUMAN|HGNC=29826|UniProtKB=Q32MK0,HUMAN|HGNC=4405|UniProtKB=P63215,HUMAN|HGNC=1461|UniProtKB=Q13554,HUMAN|HGNC=12816|UniProtKB=Q01831,HUMAN|HGNC=9441|UniProtKB=P51817,HUMAN|HGNC=15916|UniProtKB=Q9P286,HUMAN|HGNC=11368|UniProtKB=P42226,HUMAN|HGNC=8591|UniProtKB=Q13177,HUMAN|HGNC=1606|UniProtKB=P51681,HUMAN|HGNC=1318|UniProtKB=P01024,HUMAN|HGNC=10635|UniProtKB=P80075,HUMAN|HGNC=9995|UniProtKB=O14921,HUMAN|HGNC=1984|UniProtKB=Q9NSE2,HUMAN|HGNC=5440|UniProtKB=P38484,HUMAN|HGNC=7797|UniProtKB=P25963,HUMAN|HGNC=10632|UniProtKB=P13501,HUMAN|HGNC=4385|UniProtKB=P04899,HUMAN|HGNC=15906|UniProtKB=A7E2Y1,HUMAN|HGNC=9035|UniProtKB=P47712,HUMAN|HGNC=10637|UniProtKB=P02778,HUMAN|HGNC=1612|UniProtKB=O00421,HUMAN|HGNC=5960|UniProtKB=O14920,HUMAN|HGNC=1974|UniProtKB=O15111,HUMAN|HGNC=144|UniProtKB=P63261,HUMAN|HGNC=9036|UniProtKB=P0C869,HUMAN|HGNC=7569|UniProtKB=P35749,HUMAN|HGNC=6407|UniProtKB=P01116,HUMAN|HGNC=2561|UniProtKB=P61073,HUMAN|HGNC=667|UniProtKB=P61586,HUMAN|HGNC=10000|UniProtKB=P49798,HUMAN|HGNC=8972|UniProtKB=O00750,HUMAN|HGNC=7572|UniProtKB=Q9UKX2,HUMAN|HGNC=8590|UniProtKB=Q13153,HUMAN|HGNC=129|UniProtKB=P68133,HUMAN|HGNC=1460|UniProtKB=Q9UQM7,HUMAN|HGNC=23366|UniProtKB=Q9BPX5,HUMAN|HGNC=7576|UniProtKB=P13533,HUMAN|HGNC=6206|UniProtKB=P17535,HUMAN|HGNC=4384|UniProtKB=P63096,HUMAN|HGNC=9801|UniProtKB=P63000,HUMAN|HGNC=393|UniProtKB=Q9Y243,HUMAN|HGNC=9588|UniProtKB=P60484,HUMAN|HGNC=1497|UniProtKB=O14936,HUMAN|HGNC=1338|UniProtKB=P21730,HUMAN|HGNC=6027|UniProtKB=P25025,HUMAN|HGNC=5432|UniProtKB=P17181,HUMAN|HGNC=6140|UniProtKB=P13612,HUMAN|HGNC=7794|UniProtKB=P19838,HUMAN|HGNC=3827|UniProtKB=P25090,HUMAN|HGNC=1060|UniProtKB=P32302,HUMAN|HGNC=9380|UniProtKB=P17612,HUMAN|HGNC=9056|UniProtKB=Q01970,HUMAN|HGNC=4387|UniProtKB=P08754,HUMAN|HGNC=19392|UniProtKB=Q8WXH5,HUMAN|HGNC=19664|UniProtKB=Q9UK08,HUMAN|HGNC=9956|UniProtKB=Q01201,HUMAN|HGNC=711|UniProtKB=P49407,HUMAN|HGNC=6192|UniProtKB=O60674,HUMAN|HGNC=2188|UniProtKB=Q99715,HUMAN|HGNC=4400|UniProtKB=P16520,HUMAN|HGNC=9065|UniProtKB=P19174,HUMAN|HGNC=10618|UniProtKB=P13500,HUMAN|HGNC=9381|UniProtKB=P22694,HUMAN|HGNC=4389|UniProtKB=P09471,HUMAN|HGNC=708|UniProtKB=O15511,HUMAN|HGNC=11364|UniProtKB=P40763,HUMAN|HGNC=10626|UniProtKB=Q9Y4X3,HUMAN|HGNC=29846|UniProtKB=O14512,HUMAN|HGNC=8592|UniProtKB=O75914,HUMAN|HGNC=6180|UniProtKB=Q14643,HUMAN|HGNC=6182|UniProtKB=Q14573,HUMAN|HGNC=6871|UniProtKB=P28482,HUMAN|HGNC=10251|UniProtKB=Q13464,HUMAN|HGNC=9055|UniProtKB=Q00722,HUMAN|HGNC=10621|UniProtKB=O00626,HUMAN|HGNC=1603|UniProtKB=P41597,HUMAN|HGNC=4382|UniProtKB=O95837,HUMAN|HGNC=8816|UniProtKB=O15530,HUMAN|HGNC=25155|UniProtKB=Q86XE5,HUMAN|HGNC=6205|UniProtKB=P17275,HUMAN|HGNC=7|UniProtKB=P01023,HUMAN|HGNC=429|UniProtKB=P18054,HUMAN|HGNC=12657|UniProtKB=P15498,HUMAN|HGNC=3828|UniProtKB=P25089,HUMAN|HGNC=9138|UniProtKB=Q01780,HUMAN|HGNC=1605|UniProtKB=P51679,HUMAN|HGNC=23212|UniProtKB=Q7Z406,HUMAN|HGNC=6148|UniProtKB=P20701,HUMAN|HGNC=6025|UniProtKB=P10145,HUMAN|HGNC=10647|UniProtKB=P78423,HUMAN|HGNC=7795|UniProtKB=Q00653,HUMAN|HGNC=7989|UniProtKB=P01111,HUMAN|HGNC=7568|UniProtKB=P35580,HUMAN|HGNC=1463|UniProtKB=Q13555,HUMAN|HGNC=669|UniProtKB=P08134,HUMAN|HGNC=703|UniProtKB=Q92747,HUMAN|HGNC=16061|UniProtKB=Q9NQU5,HUMAN|HGNC=1608|UniProtKB=P32248,HUMAN|HGNC=12440|UniProtKB=P29597,HUMAN|HGNC=7774|UniProtKB=O94916,HUMAN|HGNC=3826|UniProtKB=P21462,HUMAN|HGNC=7693|UniProtKB=Q16795,HUMAN|HGNC=17271|UniProtKB=P62070,HUMAN|HGNC=19663|UniProtKB=Q9UBI6,HUMAN|HGNC=712|UniProtKB=P32121,HUMAN|HGNC=16059|UniProtKB=O96013,HUMAN|HGNC=1607|UniProtKB=P51684,HUMAN|HGNC=15576|UniProtKB=Q8WXR4,HUMAN|HGNC=16852|UniProtKB=O75159,HUMAN|HGNC=5439|UniProtKB=P15260,HUMAN|HGNC=7775|UniProtKB=O95644,HUMAN|HGNC=24847|UniProtKB=Q9H4M3,HUMAN|HGNC=12902|UniProtKB=P17014,HUMAN|HGNC=6026|UniProtKB=P25024,HUMAN|HGNC=9605|UniProtKB=P35354,HUMAN|HGNC=9955|UniProtKB=Q04206,HUMAN|HGNC=436|UniProtKB=P20292,HUMAN|HGNC=13581|UniProtKB=Q9UK22,HUMAN|HGNC=17780|UniProtKB=Q562R1,HUMAN|HGNC=10625|UniProtKB=Q9Y258,HUMAN|HGNC=32594|UniProtKB=Q8TCU6,HUMAN|HGNC=8975|UniProtKB=P42336,HUMAN|HGNC=7601|UniProtKB=Q8NEV4,HUMAN|HGNC=704|UniProtKB=O15143,HUMAN|HGNC=6155|UniProtKB=P05107,HUMAN|HGNC=10840|UniProtKB=P29353,HUMAN|HGNC=7577|UniProtKB=P12883,HUMAN|HGNC=8977|UniProtKB=O00329	Inflammation mediated by chemokine and cytokine signaling pathway	58	366	1604
P00039	HUMAN|HGNC=9391|UniProtKB=P13861,HUMAN|HGNC=4581|UniProtKB=Q13003,HUMAN|HGNC=11133|UniProtKB=O95721,HUMAN|HGNC=11131|UniProtKB=O00161,HUMAN|HGNC=4597|UniProtKB=P41594,HUMAN|HGNC=1401|UniProtKB=Q02641,HUMAN|HGNC=9392|UniProtKB=P31323,HUMAN|HGNC=17792|UniProtKB=Q96AJ9,HUMAN|HGNC=19860|UniProtKB=Q8NCU1,HUMAN|HGNC=16704|UniProtKB=Q9P2U7,HUMAN|HGNC=4586|UniProtKB=Q13224,HUMAN|HGNC=1392|UniProtKB=Q15878,HUMAN|HGNC=4412|UniProtKB=O14610,HUMAN|HGNC=4384|UniProtKB=P63096,HUMAN|HGNC=14122|UniProtKB=Q96RY5,HUMAN|HGNC=4598|UniProtKB=O15303,HUMAN|HGNC=3270|UniProtKB=O75822,HUMAN|HGNC=12644|UniProtKB=Q15836,HUMAN|HGNC=11433|UniProtKB=Q16623,HUMAN|HGNC=10941|UniProtKB=P43003,HUMAN|HGNC=1388|UniProtKB=O00555,HUMAN|HGNC=23414|UniProtKB=Q9Y4E1,HUMAN|HGNC=18539|UniProtKB=P61266,HUMAN|HGNC=4585|UniProtKB=Q12879,HUMAN|HGNC=10939|UniProtKB=P43005,HUMAN|HGNC=23417|UniProtKB=Q5SNT6,HUMAN|HGNC=9380|UniProtKB=P17612,HUMAN|HGNC=4387|UniProtKB=P08754,HUMAN|HGNC=4571|UniProtKB=P42261,HUMAN|HGNC=9441|UniProtKB=P51817,HUMAN|HGNC=10944|UniProtKB=P48664,HUMAN|HGNC=4582|UniProtKB=Q16099,HUMAN|HGNC=4593|UniProtKB=Q13255,HUMAN|HGNC=4573|UniProtKB=P42263,HUMAN|HGNC=12643|UniProtKB=P63027,HUMAN|HGNC=1389|UniProtKB=Q00975,HUMAN|HGNC=12647|UniProtKB=Q9BV40,HUMAN|HGNC=4572|UniProtKB=P42262,HUMAN|HGNC=9381|UniProtKB=P22694,HUMAN|HGNC=4583|UniProtKB=Q16478,HUMAN|HGNC=4600|UniProtKB=O00222,HUMAN|HGNC=10940|UniProtKB=P43004,HUMAN|HGNC=4385|UniProtKB=P04899,HUMAN|HGNC=11132|UniProtKB=P60880,HUMAN|HGNC=26790|UniProtKB=Q3MJ13,HUMAN|HGNC=9388|UniProtKB=P10644,HUMAN|HGNC=9390|UniProtKB=P31321,HUMAN|HGNC=12642|UniProtKB=P23763,HUMAN|HGNC=4588|UniProtKB=O15399,HUMAN|HGNC=10945|UniProtKB=O00341,HUMAN|HGNC=4580|UniProtKB=Q13002	Metabotropic glutamate receptor group III pathway	12	95	456
P02744	HUMAN|HGNC=418|UniProtKB=P09972,HUMAN|HGNC=6315|UniProtKB=P50053,HUMAN|HGNC=417|UniProtKB=P05062,HUMAN|HGNC=4922|UniProtKB=P19367,HUMAN|HGNC=414|UniProtKB=P04075,HUMAN|HGNC=4923|UniProtKB=P52789,HUMAN|HGNC=4135|UniProtKB=P07902,HUMAN|HGNC=4118|UniProtKB=P51570,HUMAN|HGNC=23302|UniProtKB=Q2TB90	Fructose galactose metabolism	8	20	87
P00041	HUMAN|HGNC=4585|UniProtKB=Q12879,HUMAN|HGNC=4583|UniProtKB=Q16478,HUMAN|HGNC=9059|UniProtKB=Q15147,HUMAN|HGNC=23417|UniProtKB=Q5SNT6,HUMAN|HGNC=17512|UniProtKB=Q86YM7,HUMAN|HGNC=29830|UniProtKB=Q9H0A0,HUMAN|HGNC=9380|UniProtKB=P17612,HUMAN|HGNC=3270|UniProtKB=O75822,HUMAN|HGNC=4597|UniProtKB=P41594,HUMAN|HGNC=9388|UniProtKB=P10644,HUMAN|HGNC=9395|UniProtKB=P05771,HUMAN|HGNC=4390|UniProtKB=P50148,HUMAN|HGNC=9441|UniProtKB=P51817,HUMAN|HGNC=9390|UniProtKB=P31321,HUMAN|HGNC=23414|UniProtKB=Q9Y4E1,HUMAN|HGNC=6180|UniProtKB=Q14643,HUMAN|HGNC=4593|UniProtKB=Q13255,HUMAN|HGNC=4588|UniProtKB=O15399,HUMAN|HGNC=4586|UniProtKB=Q13224,HUMAN|HGNC=9381|UniProtKB=P22694,HUMAN|HGNC=9402|UniProtKB=P05129	Metabotropic glutamate receptor group I pathway	10	45	189
P06210	HUMAN|HGNC=8747|UniProtKB=Q92824	Activin beta signaling pathway	14	11	11
P00040	HUMAN|HGNC=9391|UniProtKB=P13861,HUMAN|HGNC=11133|UniProtKB=O95721,HUMAN|HGNC=9380|UniProtKB=P17612,HUMAN|HGNC=11131|UniProtKB=O00161,HUMAN|HGNC=4387|UniProtKB=P08754,HUMAN|HGNC=1401|UniProtKB=Q02641,HUMAN|HGNC=9392|UniProtKB=P31323,HUMAN|HGNC=9441|UniProtKB=P51817,HUMAN|HGNC=4595|UniProtKB=Q14832,HUMAN|HGNC=12643|UniProtKB=P63027,HUMAN|HGNC=1389|UniProtKB=Q00975,HUMAN|HGNC=1033|UniProtKB=P23560,HUMAN|HGNC=12647|UniProtKB=Q9BV40,HUMAN|HGNC=9381|UniProtKB=P22694,HUMAN|HGNC=1392|UniProtKB=Q15878,HUMAN|HGNC=4389|UniProtKB=P09471,HUMAN|HGNC=4384|UniProtKB=P63096,HUMAN|HGNC=12644|UniProtKB=Q15836,HUMAN|HGNC=4385|UniProtKB=P04899,HUMAN|HGNC=11433|UniProtKB=Q16623,HUMAN|HGNC=11132|UniProtKB=P60880,HUMAN|HGNC=26790|UniProtKB=Q3MJ13,HUMAN|HGNC=9388|UniProtKB=P10644,HUMAN|HGNC=9390|UniProtKB=P31321,HUMAN|HGNC=12642|UniProtKB=P23763,HUMAN|HGNC=4394|UniProtKB=P19087,HUMAN|HGNC=1388|UniProtKB=O00555,HUMAN|HGNC=18539|UniProtKB=P61266	Metabotropic glutamate receptor group II pathway	7	61	274
